iteration,time,throughput (img/s),loss,top1-accuracy,top5-accuracy
2800,1791,364.2,7.255,0.004,0.020
2810,1791,364.2,7.255,0.000,0.004
2820,1791,364.1,7.255,0.000,0.000
2830,1791,364.1,7.255,0.000,0.000
2840,1791,364.1,7.255,0.000,0.000
2850,1791,364.1,7.255,0.008,0.012
2860,1791,364.1,7.255,0.000,0.000
2870,1791,364.1,7.254,0.000,0.004
2880,1791,364.1,7.255,0.000,0.000
2890,1791,364.1,7.254,0.000,0.016
2900,1791,364.1,7.255,0.000,0.008
2910,1791,364.1,7.255,0.004,0.008
2920,1791,364.1,7.254,0.000,0.004
2930,1791,364.1,7.255,0.000,0.008
2940,1791,364.1,7.255,0.000,0.000
2950,1791,364.0,7.255,0.000,0.000
2960,1791,364.0,7.255,0.000,0.008
2970,1791,364.0,7.255,0.000,0.004
2980,1791,364.0,7.255,0.000,0.008
2990,1791,364.0,7.255,0.000,0.000
3000,1791,363.9,7.255,0.004,0.004
3010,1791,363.9,7.255,0.000,0.004
3020,1791,363.9,7.255,0.000,0.000
3030,1791,363.9,7.255,0.000,0.004
3040,1791,363.9,7.255,0.000,0.004
3050,1791,363.9,7.255,0.000,0.004
3060,1791,363.9,7.255,0.000,0.012
3070,1791,363.9,7.255,0.000,0.004
3080,1791,363.9,7.255,0.000,0.004
3090,1791,363.9,7.255,0.004,0.008
3100,1791,364.0,7.255,0.000,0.004
3110,2255,363.9,7.255,0.000,0.000
3120,2255,363.9,7.255,0.000,0.008
3130,2255,363.9,7.255,0.000,0.000
3140,2255,363.9,7.255,0.000,0.000
3150,2255,363.9,7.255,0.000,0.004
3160,2255,363.9,7.255,0.000,0.004
3170,2255,363.9,7.255,0.000,0.008
3180,2255,363.9,7.255,0.000,0.004
3190,2255,363.8,7.255,0.000,0.000
3200,2255,363.8,7.255,0.004,0.012
3210,2255,363.9,7.255,0.004,0.012
3220,2255,363.8,7.254,0.000,0.004
3230,2255,363.9,7.255,0.000,0.000
3240,2255,363.8,7.255,0.000,0.004
3250,2255,363.9,7.254,0.000,0.000
3260,2255,363.8,7.255,0.000,0.004
3270,2255,363.8,7.255,0.000,0.004
3280,2255,363.8,7.254,0.000,0.000
3290,2255,363.8,7.254,0.004,0.008
3300,2255,363.8,7.254,0.000,0.000
3310,2255,363.8,7.255,0.004,0.004
3320,2255,363.8,7.255,0.000,0.004
3330,2255,363.8,7.255,0.000,0.004
3340,2255,363.0,7.255,0.000,0.000
3350,2255,362.5,7.254,0.004,0.004
3360,2255,362.4,7.254,0.000,0.000
3370,2255,362.2,7.254,0.004,0.004
3380,2255,362.2,7.255,0.004,0.004
3390,2255,362.2,7.255,0.004,0.012
3400,2255,362.1,7.254,0.000,0.000
3410,2255,362.1,7.255,0.000,0.000
3420,2255,362.1,7.255,0.000,0.004
3430,2255,362.1,7.255,0.000,0.004
3440,2255,362.0,7.255,0.000,0.016
3450,2255,362.0,7.255,0.000,0.004
3460,2255,362.0,7.254,0.004,0.004
3470,2255,361.9,7.255,0.000,0.008
3480,2255,361.9,7.254,0.000,0.004
3490,2255,361.8,7.254,0.004,0.008
3500,2255,361.8,7.255,0.000,0.000
3510,2255,361.8,7.254,0.000,0.008
3520,2255,361.7,7.255,0.000,0.000
3530,2255,361.6,7.255,0.000,0.004
3540,2255,361.5,7.254,0.004,0.012
3550,2255,361.6,7.255,0.000,0.000
3560,2255,361.6,7.255,0.000,0.000
3570,2255,361.4,7.255,0.000,0.000
3580,2255,361.5,7.255,0.000,0.012
3590,2255,361.5,7.254,0.000,0.000
3600,2255,361.5,7.254,0.000,0.008
3610,2255,361.4,7.254,0.000,0.000
3620,2255,361.4,7.254,0.000,0.008
3630,2255,361.3,7.255,0.000,0.004
3640,2255,361.3,7.254,0.000,0.012
3650,2255,361.3,7.255,0.004,0.004
3660,2255,361.3,7.254,0.000,0.000
3670,2255,361.3,7.255,0.004,0.004
