iteration,throughput (img/s),loss,top1-accuracy,top5-accuracy
4120,421.1,5.899,0.094,0.227
4130,421.1,5.631,0.121,0.309
4140,421.1,6.023,0.074,0.191
4150,421.1,5.995,0.078,0.230
4160,421.1,6.143,0.082,0.219
4170,421.1,6.057,0.141,0.227
4180,421.1,5.781,0.094,0.273
4190,421.2,6.029,0.078,0.203
4200,421.2,5.861,0.090,0.223
4210,421.2,5.930,0.105,0.223
4220,421.2,6.140,0.078,0.199
4230,421.2,6.080,0.051,0.184
4240,421.2,5.877,0.090,0.258
4250,421.2,5.729,0.098,0.254
4260,421.2,5.857,0.090,0.227
4270,421.2,5.962,0.086,0.219
4280,421.2,5.913,0.059,0.250
4290,421.2,6.059,0.121,0.211
4300,421.2,5.850,0.078,0.219
4310,421.2,5.828,0.121,0.258
4320,421.2,5.687,0.109,0.266
4330,421.2,6.545,0.059,0.199
4340,421.2,6.105,0.051,0.199
4350,421.2,6.096,0.070,0.188
4360,421.2,1,of,10000
4370,421.2,5.926,0.082,0.211
4380,421.2,5.965,0.090,0.234
4390,421.2,5.783,0.086,0.289
4400,421.2,6.032,0.051,0.199
4410,421.2,6.022,0.082,0.199
4420,421.2,5.836,0.070,0.238
4430,421.2,6.006,0.059,0.184
4440,421.2,5.924,0.090,0.242
4450,421.2,5.655,0.109,0.320
4460,421.2,5.731,0.117,0.266
4470,421.2,6.023,0.074,0.191
4480,421.2,5.845,0.082,0.215
4490,421.2,5.874,0.102,0.242
4500,421.1,5.714,0.125,0.285
4510,421.1,5.995,0.078,0.203
4520,421.1,6.102,0.066,0.184
4530,421.1,5.731,0.125,0.281
4540,421.2,5.634,0.141,0.277
4550,421.2,6.019,0.082,0.258
4560,421.2,6.032,0.078,0.230
4570,421.2,5.816,0.086,0.262
4580,421.2,5.881,0.074,0.258
4590,421.2,6.001,0.062,0.238
4600,421.2,5.721,0.094,0.281
4610,421.2,5.622,0.086,0.242
4620,421.2,5.785,0.102,0.258
4630,421.2,5.873,0.094,0.230
4640,421.2,5.978,0.109,0.223
4650,421.2,5.704,0.102,0.258
4660,421.2,5.828,0.090,0.285
4670,421.2,5.719,0.102,0.258
4680,421.2,5.730,0.082,0.242
4690,421.2,5.989,0.090,0.199
4700,421.2,5.803,0.078,0.254
4710,421.2,5.863,0.121,0.258
4720,421.2,5.955,0.090,0.219
4730,421.2,5.695,0.102,0.285
4740,421.2,5.647,0.117,0.281
4750,421.2,5.779,0.117,0.258
4760,421.2,5.997,0.082,0.246
4770,421.2,5.804,0.090,0.246
4780,421.2,6.023,0.074,0.270
4790,421.2,5.620,0.133,0.316
4800,421.2,5.816,0.113,0.238
4810,421.2,6.447,0.070,0.168
4820,421.2,5.706,0.078,0.273
4830,421.2,5.882,0.090,0.215
4840,421.2,5.754,0.109,0.281
4850,421.2,5.841,0.090,0.316
4860,421.2,5.647,0.090,0.277
4870,421.2,5.724,0.094,0.285
4880,421.2,5.787,0.082,0.242
4890,421.2,5.810,0.070,0.254
4900,421.2,5.398,0.125,0.348
4910,421.2,5.645,0.098,0.293
4920,421.2,5.837,0.105,0.254
4930,421.2,5.911,0.078,0.250
4940,421.2,5.712,0.133,0.285
4950,421.2,5.861,0.090,0.270
4960,421.2,5.688,0.102,0.258
4970,421.2,5.847,0.109,0.227
4980,421.2,5.804,0.078,0.242
4990,417.8,5.853,0.094,0.250
5000,417.8,5.566,0.105,0.324
5010,417.8,5.648,0.109,0.258
5020,417.8,5.609,0.137,0.297
5030,417.8,5.651,0.129,0.289
5040,417.8,5.909,0.086,0.250
5050,417.8,5.749,0.117,0.242
5060,417.8,5.667,0.090,0.297
5070,417.8,5.784,0.109,0.262
5080,417.8,5.877,0.082,0.219
5090,417.8,5.719,0.113,0.262
5100,417.8,5.765,0.105,0.285
5110,417.8,5.679,0.109,0.270
5120,417.8,5.871,0.102,0.246
5130,417.8,5.645,0.090,0.273
5140,417.8,5.884,0.105,0.230
5150,417.8,5.557,0.129,0.277
5160,417.8,5.492,0.109,0.309
5170,417.8,5.548,0.105,0.277
5180,417.8,5.764,0.129,0.258
5190,417.8,5.599,0.090,0.258
5200,417.8,5.587,0.113,0.262
5210,417.8,5.511,0.129,0.293
5220,417.8,5.740,0.133,0.273
5230,417.8,5.528,0.109,0.328
5240,417.8,5.604,0.105,0.305
5250,417.9,5.692,0.129,0.270
5260,417.9,5.955,0.113,0.230
5270,417.9,5.648,0.117,0.270
5280,417.9,5.785,0.109,0.250
5290,417.9,5.595,0.137,0.289
5300,417.9,5.714,0.137,0.266
5310,418.0,5.712,0.129,0.289
5320,418.0,5.579,0.160,0.293
5330,418.0,5.675,0.055,0.254
5340,418.0,5.504,0.109,0.277
5350,418.0,5.635,0.105,0.281
5360,418.0,5.778,0.098,0.246
5370,418.0,5.601,0.109,0.312
5380,418.0,5.529,0.070,0.305
5390,418.0,5.740,0.129,0.293
5400,418.1,5.622,0.129,0.266
5410,418.0,5.500,0.129,0.305
5420,418.0,5.448,0.129,0.293
5430,418.1,5.652,0.113,0.281
5440,418.1,5.566,0.117,0.289
5450,418.1,5.769,0.062,0.238
5460,418.1,5.538,0.090,0.281
5470,418.1,5.613,0.117,0.293
5480,418.1,5.742,0.129,0.254
5490,418.0,5.553,0.109,0.309
5500,418.0,5.839,0.098,0.281
5510,418.0,5.790,0.086,0.258
5520,418.1,5.640,0.141,0.297
5530,418.1,5.634,0.098,0.270
5540,418.1,5.393,0.148,0.328
5550,418.1,5.708,0.117,0.238
5560,418.1,5.511,0.102,0.273
5570,418.1,5.697,0.090,0.246
5580,418.1,5.567,0.141,0.285
5590,418.1,5.561,0.133,0.293
5600,418.1,5.539,0.113,0.285
5610,418.1,5.238,0.137,0.340
5620,418.1,5.563,0.141,0.312
5630,418.1,5.632,0.121,0.277
5640,418.1,5.644,0.117,0.281
5650,418.1,5.564,0.094,0.305
5660,418.2,5.677,0.109,0.281
5670,418.2,5.503,0.137,0.293
5680,418.2,5.629,0.102,0.285
5690,418.2,5.477,0.105,0.277
5700,418.2,5.519,0.133,0.305
5710,418.2,5.681,0.082,0.238
5720,418.2,5.731,0.105,0.297
5730,418.2,5.717,0.098,0.242
5740,418.2,5.514,0.117,0.312
5750,418.2,5.495,0.137,0.340
5760,418.2,5.577,0.121,0.297
5770,418.2,5.583,0.113,0.266
5780,418.3,5.448,0.148,0.324
5790,418.3,5.671,0.086,0.297
5800,418.3,5.323,0.160,0.344
5810,418.3,5.582,0.113,0.305
5820,418.3,5.588,0.125,0.270
5830,418.3,5.209,0.133,0.367
5840,418.3,5.533,0.117,0.297
5850,418.3,5.491,0.156,0.324
5860,418.3,5.245,0.160,0.371
5870,418.3,5.518,0.129,0.340
5880,418.3,5.493,0.137,0.336
5890,418.3,5.466,0.121,0.281
5900,418.3,5.626,0.098,0.246
5910,418.3,5.637,0.094,0.297
5920,418.4,5.543,0.109,0.285
5930,418.4,5.305,0.133,0.324
5940,418.4,5.627,0.133,0.262
5950,418.4,5.322,0.137,0.359
5960,418.4,5.500,0.125,0.289
5970,418.4,5.658,0.133,0.312
5980,418.4,5.418,0.113,0.340
5990,418.4,5.303,0.176,0.363
6000,418.4,5.653,0.117,0.258
6010,418.4,5.608,0.113,0.289
6020,418.4,5.589,0.160,0.312
6030,418.4,5.259,0.141,0.348
6040,418.4,5.555,0.133,0.293
6050,418.5,5.485,0.152,0.289
6060,418.5,5.309,0.176,0.344
6070,418.5,5.402,0.145,0.340
6080,418.5,5.268,0.164,0.391
6090,418.5,5.563,0.109,0.293
6100,418.5,5.306,0.152,0.336
6110,418.5,5.544,0.109,0.273
6120,418.5,5.720,0.109,0.242
6130,418.5,5.416,0.137,0.301
6140,418.5,5.576,0.102,0.273
6150,418.5,5.588,0.137,0.285
6160,418.5,5.688,0.129,0.246
6170,418.5,5.282,0.145,0.363
6180,418.5,5.419,0.211,0.371
6190,418.5,5.298,0.160,0.367
6200,418.5,5.370,0.172,0.344
6210,418.5,5.448,0.148,0.340
6220,418.6,5.314,0.164,0.324
