1 1519746775955 Training with training/test data at:
2 1519746776033   DATA_DIR: /mnt/data/imagenet-tfrecord
3 1519746776049   MODEL_DIR: /job/model-code
4 1519746776055   TRAINING_JOB: 
5 1519746776060   TRAINING_COMMAND: python tf_cnn_benchmarks.py --local_parameter_device=cpu --num_gpus=2 --batch_size=128 --num_batches=250000 --model=vgg16 --data_dir="${DATA_DIR}" --data_name="imagenet" --variable_update=parameter_server --num_intra_threads=4 --num_inter_threads=8 --print_training_accuracy 
6 1519746776067 Storing trained model at:
7 1519746776071   RESULT_DIR: /mnt/results/imagenet-tfrecord-results/training-BV3Bs2ekg
8 1519746776075 Tue Feb 27 15:52:24 UTC 2018: Running Tensorflow job
9 1519746776080 /usr/local/lib/python2.7/dist-packages/h5py/__init__.py:36: FutureWarning: Conversion of the second argument of issubdtype from `float` to `np.floating` is deprecated. In future, it will be treated as `np.float64 == np.dtype(float).type`.
10 1519746776085   from ._conv import register_converters as _register_converters
11 1519746776089 W0227 15:52:40.157386 46987615483008 tf_logging.py:118] From /job/model-code/benchmark_cnn.py:1295: __init__ (from tensorflow.python.training.supervisor) is deprecated and will be removed in a future version.
12 1519746776094 Instructions for updating:
13 1519746776098 Please switch to tf.train.MonitoredTrainingSession
14 1519746776102 2018-02-27 15:52:40.311296: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
15 1519746776107 2018-02-27 15:52:40.802099: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1105] Found device 0 with properties: 
16 1519746776112 name: Tesla V100-PCIE-16GB major: 7 minor: 0 memoryClockRate(GHz): 1.38
17 1519746776117 pciBusID: 0000:81:00.0
18 1519746776122 totalMemory: 15.77GiB freeMemory: 15.36GiB
19 1519746776126 2018-02-27 15:52:41.166045: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1105] Found device 1 with properties: 
20 1519746776130 name: Tesla V100-PCIE-16GB major: 7 minor: 0 memoryClockRate(GHz): 1.38
21 1519746776135 pciBusID: 0000:82:00.0
22 1519746776139 totalMemory: 15.77GiB freeMemory: 15.36GiB
23 1519746776144 2018-02-27 15:52:41.167318: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Device peer to peer matrix
24 1519746776149 2018-02-27 15:52:41.167684: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1126] DMA: 0 1 
25 1519746776153 2018-02-27 15:52:41.167719: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1136] 0:   Y Y 
26 1519746776157 2018-02-27 15:52:41.167726: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1136] 1:   Y Y 
27 1519746776161 2018-02-27 15:52:41.167739: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1195] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: Tesla V100-PCIE-16GB, pci bus id: 0000:81:00.0, compute capability: 7.0)
28 1519746776166 2018-02-27 15:52:41.167747: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1195] Creating TensorFlow device (/device:GPU:1) -> (device: 1, name: Tesla V100-PCIE-16GB, pci bus id: 0000:82:00.0, compute capability: 7.0)
29 1519746995825 2018-02-27 15:56:05.633515: I tensorflow/core/kernels/shuffle_dataset_op.cc:112] Filling up shuffle buffer (this may take a while): 1 of 10000
30 1519747000904 2018-02-27 15:56:12.002930: I tensorflow/core/kernels/shuffle_dataset_op.cc:112] Filling up shuffle buffer (this may take a while): 7717 of 10000
31 1519747000921 2018-02-27 15:56:13.187075: I tensorflow/core/kernels/shuffle_dataset_op.cc:126] Shuffle buffer filled.
32 1519747029180 I0227 15:56:38.922674 46993615357696 tf_logging.py:110] Starting real work at step 10 at time Tue Feb 27 15:56:38 2018
33 1519747419569 TensorFlow:  1.5
34 1519747419620 Model:       vgg16
35 1519747419635 Dataset:     imagenet
36 1519747419641 Mode:        training
37 1519747419645 SingleSess:  False
38 1519747419649 Batch size:  256 global
39 1519747419654              128 per device
40 1519747419658 Num batches: 250000
41 1519747419663 Num epochs:  49.95
42 1519747419668 Devices:     ['/gpu:0', '/gpu:1']
43 1519747419672 Data format: NCHW
44 1519747419676 Layout optimizer: False
45 1519747419681 Optimizer:   sgd
46 1519747419686 Variables:   parameter_server
47 1519747419691 ==========
48 1519747419696 Generating model
49 1519747419700 Running warm up
50 1519747419704 Done warm up
51 1519747419708 Step	Img/sec	loss	top_1_accuracy	top_5_accuracy
15956 1519861974962 155610	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.942	0.281	0.508
15957 1519861974966 155620	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	4.036	0.332	0.496
15958 1519861974970 155630	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.457	0.320	0.617
15959 1519861974974 155640	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.734	0.297	0.523
15960 1519861974979 155650	images/sec: 347.0 +/- 0.15961 1519862421863 1 (jitter = 21.1)	3.809	0.324	0.543
15962 1519862421882 155660	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.823	0.340	0.559
15963 1519862421918 155670	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.697	0.277	0.520
15964 1519862421922 155680	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.779	0.316	0.543
15965 1519862421927 155690	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	4.172	0.227	0.480
15966 1519862421931 155700	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.874	0.289	0.500
15967 1519862421937 155710	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.663	0.281	0.562
15968 1519862421941 155720	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.622	0.355	0.574
15969 1519862421946 155730	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.973	0.324	0.520
15970 1519862421950 155740	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.828	0.301	0.547
15971 1519862421953 155750	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.851	0.262	0.527
15972 1519862421957 155760	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.812	0.301	0.527
15973 1519862421961 155770	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	4.317	0.227	0.480
15974 1519862421965 155780	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.699	0.301	0.543
15975 1519862421969 155790	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.616	0.281	0.562
15976 1519862421972 155800	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.670	0.305	0.566
15977 1519862421976 155810	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.807	0.293	0.484
15978 1519862421980 155820	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.894	0.285	0.547
15979 1519862421984 155830	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	4.115	0.262	0.453
15980 1519862421987 155840	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.871	0.328	0.492
15981 1519862421991 155850	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.762	0.293	0.535
15982 1519862421995 155860	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.798	0.301	0.527
15983 1519862421998 155870	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.809	0.324	0.539
15984 1519862422002 155880	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.582	0.309	0.574
15985 1519862422006 155890	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.850	0.293	0.535
15986 1519862422010 155900	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.591	0.363	0.551
15987 1519862422014 155910	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	4.131	0.273	0.457
15988 1519862422018 155920	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.951	0.320	0.504
15989 1519862422021 155930	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	4.089	0.246	0.441
15990 1519862422025 155940	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.486	0.355	0.574
15991 1519862422029 155950	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.535	0.332	0.590
15992 1519862422033 155960	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.843	0.328	0.516
15993 1519862422037 155970	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.756	0.281	0.551
15994 1519862422041 155980	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.990	0.254	0.500
15995 1519862422045 155990	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.698	0.332	0.539
15996 1519862422049 156000	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.827	0.312	0.539
15997 1519862422053 156010	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	4.153	0.270	0.473
15998 1519862422057 156020	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.799	0.293	0.523
15999 1519862422061 156030	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.966	0.262	0.504
16000 1519862422065 156040	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.880	0.281	0.516
16001 1519862422068 156050	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.667	0.340	0.598
16002 1519862422072 156060	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	4.020	0.277	0.504
16003 1519862422076 156070	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.658	0.328	0.527
16004 1519862422080 156080	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.941	0.301	0.508
16005 1519862422085 156090	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.980	0.285	0.504
16006 1519862422090 156100	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.716	0.312	0.570
16007 1519862422094 156110	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	4.168	0.246	0.438
16008 1519862422098 156120	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.901	0.281	0.488
16009 1519862422103 156130	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.877	0.305	0.512
16010 1519862422107 156140	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.649	0.340	0.531
16011 1519862422111 156150	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.863	0.316	0.504
16012 1519862422115 156160	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	4.003	0.289	0.480
16013 1519862422119 156170	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.799	0.270	0.523
16014 1519862422123 156180	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.909	0.277	0.512
16015 1519862422127 156190	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.964	0.250	0.527
16016 1519862422131 156200	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.941	0.285	0.512
16017 1519862422135 156210	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.821	0.297	0.492
16018 1519862422139 156220	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.782	0.320	0.520
16019 1519862422142 156230	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.836	0.309	0.535
16020 1519862422146 156240	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.718	0.328	0.555
16021 1519862422150 156250	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.705	0.320	0.539
16022 1519862422155 156260	images/sec: 347.0 +/- 0.1 (jitter16023 1519862868187  = 21.1)	3.663	0.324	0.551
16024 1519862868204 156270	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	4.048	0.254	0.500
16025 1519862868220 156280	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.982	0.246	0.473
16026 1519862868225 156290	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	4.145	0.246	0.492
16027 1519862868231 156300	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.542	0.340	0.598
16028 1519862868236 156310	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.696	0.316	0.578
16029 1519862868240 156320	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.606	0.340	0.547
16030 1519862868244 156330	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.725	0.324	0.527
16031 1519862868248 156340	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.677	0.328	0.551
16032 1519862868253 156350	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.820	0.281	0.523
16033 1519862868257 156360	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.716	0.293	0.531
16034 1519862868262 156370	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.756	0.320	0.539
16035 1519862868267 156380	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	4.042	0.297	0.531
16036 1519862868271 156390	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.963	0.273	0.516
16037 1519862868275 156400	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.832	0.301	0.508
16038 1519862868280 156410	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.800	0.332	0.539
16039 1519862868285 156420	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.828	0.289	0.535
16040 1519862868289 156430	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.896	0.277	0.516
16041 1519862868294 156440	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	4.084	0.281	0.465
16042 1519862868297 156450	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.664	0.320	0.543
16043 1519862868301 156460	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.815	0.309	0.559
16044 1519862868305 156470	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.580	0.336	0.551
16045 1519862868310 156480	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.839	0.316	0.512
16046 1519862868314 156490	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.686	0.352	0.559
16047 1519862868318 156500	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.847	0.320	0.531
16048 1519862868322 156510	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.873	0.305	0.516
16049 1519862868328 156520	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.951	0.309	0.496
16050 1519862868333 156530	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.880	0.277	0.500
16051 1519862868338 156540	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.730	0.320	0.523
16052 1519862868342 156550	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.846	0.281	0.512
16053 1519862868347 156560	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	4.040	0.270	0.480
16054 1519862868351 156570	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.685	0.270	0.555
16055 1519862868355 156580	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.752	0.332	0.543
16056 1519862868360 156590	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.955	0.289	0.543
16057 1519862868364 156600	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.919	0.277	0.531
16058 1519862868368 156610	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.769	0.289	0.555
16059 1519862868372 156620	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.859	0.301	0.539
16060 1519862868377 156630	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.559	0.340	0.570
16061 1519862868381 156640	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.927	0.289	0.477
16062 1519862868398 156650	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.840	0.305	0.535
16063 1519862868403 156660	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.771	0.316	0.562
16064 1519862868407 156670	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.839	0.328	0.539
16065 1519862868412 156680	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.821	0.297	0.527
16066 1519862868417 156690	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.976	0.254	0.516
16067 1519862868421 156700	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.924	0.316	0.512
16068 1519862868425 156710	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.972	0.262	0.512
16069 1519862868429 156720	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.954	0.270	0.477
16070 1519862868433 156730	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	4.240	0.254	0.445
16071 1519862868437 156740	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.568	0.293	0.562
16072 1519862868441 156750	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.915	0.273	0.516
16073 1519862868445 156760	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.498	0.332	0.602
16074 1519862868449 156770	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.618	0.344	0.547
16075 1519862868454 156780	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.750	0.305	0.535
16076 1519862868458 156790	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.748	0.312	0.551
16077 1519862868462 156800	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.754	0.312	0.547
16078 1519862868465 156810	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.677	0.309	0.527
16079 1519862868469 156820	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.944	0.266	0.473
16080 1519862868474 156830	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.902	0.285	0.504
16081 1519862868478 156840	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.742	0.305	0.531
16082 1519862868482 156850	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.541	0.379	0.594
16083 1519862868486 156860	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.743	0.320	0.566
16084 1519862868490 156870	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	16085 1519863316493 3.704	0.312	0.523
16086 1519863316514 156880	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.509	0.320	0.594
16087 1519863316529 156890	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.699	0.320	0.551
16088 1519863316533 156900	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.720	0.344	0.551
16089 1519863316536 156910	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.796	0.281	0.551
16090 1519863316540 156920	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.828	0.270	0.523
16091 1519863316545 156930	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	4.015	0.270	0.480
16092 1519863316549 156940	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.704	0.312	0.574
16093 1519863316553 156950	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.745	0.309	0.512
16094 1519863316558 156960	images/sec: 347.0 +/- 0.1 (jitter = 21.1)	3.562	0.324	0.551
16095 1519863316562 156970	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.726	0.258	0.527
16096 1519863316567 156980	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	4.085	0.258	0.438
16097 1519863316571 156990	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.796	0.316	0.555
16098 1519863316575 157000	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	4.036	0.246	0.496
16099 1519863316579 157010	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.939	0.285	0.492
16100 1519863316584 157020	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.966	0.309	0.504
16101 1519863316589 157030	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.851	0.305	0.516
16102 1519863316593 157040	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.847	0.309	0.539
16103 1519863316597 157050	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.851	0.262	0.496
16104 1519863316601 157060	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	4.031	0.273	0.480
16105 1519863316605 157070	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.969	0.289	0.484
16106 1519863316609 157080	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.801	0.297	0.535
16107 1519863316614 157090	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.713	0.316	0.543
16108 1519863316618 157100	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.873	0.281	0.504
16109 1519863316622 157110	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.944	0.277	0.496
16110 1519863316626 157120	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.883	0.262	0.539
16111 1519863316630 157130	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	4.037	0.273	0.516
16112 1519863316634 157140	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.781	0.289	0.523
16113 1519863316639 157150	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.802	0.320	0.559
16114 1519863316643 157160	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.687	0.371	0.574
16115 1519863316648 157170	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.651	0.320	0.539
16116 1519863316652 157180	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.628	0.332	0.578
16117 1519863316656 157190	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.747	0.316	0.535
16118 1519863316660 157200	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.826	0.301	0.508
16119 1519863316665 157210	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.808	0.281	0.523
16120 1519863316670 157220	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.819	0.285	0.496
16121 1519863316674 157230	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.808	0.316	0.559
16122 1519863316681 157240	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.644	0.367	0.578
16123 1519863316685 157250	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.865	0.332	0.520
16124 1519863316689 157260	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.629	0.309	0.555
16125 1519863316694 157270	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.533	0.340	0.559
16126 1519863316698 157280	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.989	0.297	0.520
16127 1519863316703 157290	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.826	0.305	0.527
16128 1519863316707 157300	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.963	0.293	0.469
16129 1519863316712 157310	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.769	0.301	0.523
16130 1519863316716 157320	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.858	0.270	0.516
16131 1519863316721 157330	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.833	0.273	0.527
16132 1519863316725 157340	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	4.223	0.281	0.449
16133 1519863316728 157350	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.864	0.312	0.520
16134 1519863316733 157360	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	4.137	0.238	0.469
16135 1519863316739 157370	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.843	0.328	0.531
16136 1519863316744 157380	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.549	0.332	0.586
16137 1519863316748 157390	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.610	0.340	0.543
16138 1519863316752 157400	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.792	0.312	0.566
16139 1519863316756 157410	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.942	0.277	0.500
16140 1519863316760 157420	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.676	0.328	0.574
16141 1519863316790 157430	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.691	0.305	0.555
16142 1519863316794 157440	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.828	0.320	0.508
16143 1519863316798 157450	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	4.128	0.277	0.469
16144 1519863316803 157460	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.956	0.250	0.523
16145 1519863316808 157470	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.629	0.363	0.582
16146 1519863316813 157480	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.812	0.216147 1519863771350 93	0.531
16148 1519863771417 157490	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.723	0.301	0.531
16149 1519863771432 157500	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.701	0.328	0.547
16150 1519863771437 157510	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.834	0.309	0.551
16151 1519863771442 157520	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.893	0.281	0.484
16152 1519863771446 157530	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	4.150	0.223	0.465
16153 1519863771451 157540	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.845	0.305	0.535
16154 1519863771455 157550	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	4.059	0.250	0.473
16155 1519863771459 157560	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.720	0.336	0.527
16156 1519863771463 157570	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.775	0.262	0.527
16157 1519863771468 157580	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.822	0.273	0.508
16158 1519863771472 157590	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.630	0.340	0.531
16159 1519863771475 157600	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.864	0.281	0.504
16160 1519863771480 157610	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.927	0.273	0.496
16161 1519863771484 157620	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.898	0.293	0.520
16162 1519863771488 157630	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.765	0.336	0.512
16163 1519863771492 157640	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.795	0.301	0.516
16164 1519863771496 157650	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	4.036	0.277	0.504
16165 1519863771499 157660	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.804	0.281	0.527
16166 1519863771503 157670	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.847	0.305	0.500
16167 1519863771507 157680	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.886	0.309	0.520
16168 1519863771511 157690	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.785	0.297	0.547
16169 1519863771516 157700	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.658	0.336	0.527
16170 1519863771520 157710	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.783	0.281	0.527
16171 1519863771523 157720	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.768	0.348	0.539
16172 1519863771527 157730	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.754	0.312	0.535
16173 1519863771531 157740	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.542	0.348	0.578
16174 1519863771536 157750	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.747	0.301	0.512
16175 1519863771540 157760	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.857	0.309	0.516
16176 1519863771544 157770	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.714	0.324	0.547
16177 1519863771548 157780	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.843	0.281	0.531
16178 1519863771552 157790	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.601	0.348	0.566
16179 1519863771556 157800	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.703	0.332	0.547
16180 1519863771560 157810	images/sec: 347.1 +/- 0.1 (jitter = 21.1)	3.807	0.293	0.523
