WARNING:tensorflow:From /root/data/benchmarks/scripts/tf_cnn_benchmarks/convnet_builder.py:372: calling reduce_mean (from tensorflow.python.ops.math_ops) with keep_dims is deprecated and will be removed in a future version.
Instructions for updating:
keep_dims is deprecated, use keepdims instead
WARNING:tensorflow:From /root/data/benchmarks/scripts/tf_cnn_benchmarks/benchmark_cnn.py:1120: Supervisor.__init__ (from tensorflow.python.training.supervisor) is deprecated and will be removed in a future version.
Instructions for updating:
Please switch to tf.train.MonitoredTrainingSession
2018-06-29 13:50:30.957884: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2018-06-29 13:50:31.141978: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1392] Found device 0 with properties: 
name: Tesla P100-PCIE-16GB major: 6 minor: 0 memoryClockRate(GHz): 1.3285
pciBusID: 0000:82:00.0
totalMemory: 15.89GiB freeMemory: 15.60GiB
2018-06-29 13:50:31.142031: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1471] Adding visible gpu devices: 0
2018-06-29 13:50:31.528917: I tensorflow/core/common_runtime/gpu/gpu_device.cc:952] Device interconnect StreamExecutor with strength 1 edge matrix:
2018-06-29 13:50:31.528987: I tensorflow/core/common_runtime/gpu/gpu_device.cc:958]      0 
2018-06-29 13:50:31.529003: I tensorflow/core/common_runtime/gpu/gpu_device.cc:971] 0:   N 
2018-06-29 13:50:31.529484: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1084] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 15119 MB memory) -> physical GPU (device: 0, name: Tesla P100-PCIE-16GB, pci bus id: 0000:82:00.0, compute capability: 6.0)
TensorFlow:  1.10
Model:       resnet50
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  128 global
             64.0 per device
Devices:     ['/gpu:0', '/gpu:1']
Data format: NCHW
Layout optimizer: False
Optimizer:   sgd
Variables:   parameter_server
==========
Generating model
Running warm up
Done warm up
Step	Img/sec	loss
----------------------------------------------------------------
total images/sec: 226.40
----------------------------------------------------------------
WARNING:tensorflow:From /root/data/benchmarks/scripts/tf_cnn_benchmarks/convnet_builder.py:372: calling reduce_mean (from tensorflow.python.ops.math_ops) with keep_dims is deprecated and will be removed in a future version.
Instructions for updating:
keep_dims is deprecated, use keepdims instead
WARNING:tensorflow:From /root/data/benchmarks/scripts/tf_cnn_benchmarks/benchmark_cnn.py:1120: Supervisor.__init__ (from tensorflow.python.training.supervisor) is deprecated and will be removed in a future version.
Instructions for updating:
Please switch to tf.train.MonitoredTrainingSession
2018-06-29 14:13:26.728952: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2018-06-29 14:13:26.907925: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1392] Found device 0 with properties: 
name: Tesla P100-PCIE-16GB major: 6 minor: 0 memoryClockRate(GHz): 1.3285
pciBusID: 0000:82:00.0
totalMemory: 15.89GiB freeMemory: 15.60GiB
2018-06-29 14:13:26.907974: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1471] Adding visible gpu devices: 0
2018-06-29 14:13:27.315814: I tensorflow/core/common_runtime/gpu/gpu_device.cc:952] Device interconnect StreamExecutor with strength 1 edge matrix:
2018-06-29 14:13:27.315883: I tensorflow/core/common_runtime/gpu/gpu_device.cc:958]      0 
2018-06-29 14:13:27.315900: I tensorflow/core/common_runtime/gpu/gpu_device.cc:971] 0:   N 
2018-06-29 14:13:27.316399: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1084] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 15119 MB memory) -> physical GPU (device: 0, name: Tesla P100-PCIE-16GB, pci bus id: 0000:82:00.0, compute capability: 6.0)
TensorFlow:  1.10
Model:       resnet50
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  128 global
             64.0 per device
Devices:     ['/gpu:0', '/gpu:1']
Data format: NCHW
Layout optimizer: False
Optimizer:   sgd
Variables:   parameter_server
==========
Generating model
Running warm up
Done warm up
Step	Img/sec	loss
1	images/sec: 225.4 +/- 0.0 (jitter = 0.0)	8.565
10	images/sec: 226.3 +/- 0.2 (jitter = 0.5)	8.553
20	images/sec: 225.8 +/- 0.6 (jitter = 1.0)	8.626
30	images/sec: 225.8 +/- 0.4 (jitter = 1.0)	8.206
40	images/sec: 225.8 +/- 0.3 (jitter = 1.2)	8.175
50	images/sec: 208.9 +/- 3.6 (jitter = 1.1)	8.072
60	images/sec: 211.6 +/- 3.0 (jitter = 1.2)	8.007
70	images/sec: 213.5 +/- 2.6 (jitter = 1.3)	7.973
80	images/sec: 215.1 +/- 2.3 (jitter = 1.1)	7.906
90	images/sec: 216.3 +/- 2.0 (jitter = 1.0)	8.239
100	images/sec: 217.3 +/- 1.8 (jitter = 0.8)	7.980
110	images/sec: 218.0 +/- 1.7 (jitter = 0.8)	7.963
120	images/sec: 218.6 +/- 1.5 (jitter = 0.9)	7.780
130	images/sec: 219.1 +/- 1.4 (jitter = 0.9)	7.895
140	images/sec: 219.6 +/- 1.3 (jitter = 1.0)	8.011
150	images/sec: 220.0 +/- 1.2 (jitter = 1.0)	7.878
160	images/sec: 220.4 +/- 1.1 (jitter = 1.0)	7.923
170	images/sec: 220.8 +/- 1.1 (jitter = 1.0)	7.857
180	images/sec: 221.1 +/- 1.0 (jitter = 1.0)	7.795
190	images/sec: 221.3 +/- 1.0 (jitter = 1.0)	7.855
200	images/sec: 221.6 +/- 0.9 (jitter = 1.0)	7.793
210	images/sec: 221.8 +/- 0.9 (jitter = 1.0)	7.862
220	images/sec: 222.1 +/- 0.8 (jitter = 0.9)	8.016
230	images/sec: 222.3 +/- 0.8 (jitter = 0.9)	8.018
240	images/sec: 222.5 +/- 0.8 (jitter = 0.8)	7.821
250	images/sec: 222.6 +/- 0.7 (jitter = 0.7)	7.773
260	images/sec: 222.8 +/- 0.7 (jitter = 0.7)	7.835
270	images/sec: 223.0 +/- 0.7 (jitter = 0.7)	7.839
280	images/sec: 223.1 +/- 0.7 (jitter = 0.7)	7.861
290	images/sec: 223.2 +/- 0.6 (jitter = 0.7)	7.776
300	images/sec: 223.3 +/- 0.6 (jitter = 0.7)	7.768
310	images/sec: 223.5 +/- 0.6 (jitter = 0.6)	7.809
320	images/sec: 223.6 +/- 0.6 (jitter = 0.6)	7.783
330	images/sec: 223.7 +/- 0.6 (jitter = 0.6)	7.797
340	images/sec: 223.8 +/- 0.5 (jitter = 0.6)	7.738
350	images/sec: 223.8 +/- 0.5 (jitter = 0.6)	7.764
360	images/sec: 223.9 +/- 0.5 (jitter = 0.6)	7.769
370	images/sec: 224.0 +/- 0.5 (jitter = 0.6)	7.713
380	images/sec: 224.1 +/- 0.5 (jitter = 0.6)	7.716
390	images/sec: 224.2 +/- 0.5 (jitter = 0.6)	7.751
400	images/sec: 224.2 +/- 0.5 (jitter = 0.6)	7.745
410	images/sec: 224.3 +/- 0.4 (jitter = 0.6)	7.740
420	images/sec: 224.3 +/- 0.4 (jitter = 0.6)	7.699
430	images/sec: 224.4 +/- 0.4 (jitter = 0.5)	7.725
440	images/sec: 224.5 +/- 0.4 (jitter = 0.5)	7.713
450	images/sec: 224.5 +/- 0.4 (jitter = 0.5)	7.811
460	images/sec: 224.6 +/- 0.4 (jitter = 0.5)	7.767
470	images/sec: 224.6 +/- 0.4 (jitter = 0.5)	7.652
480	images/sec: 224.7 +/- 0.4 (jitter = 0.5)	7.725
490	images/sec: 224.7 +/- 0.4 (jitter = 0.5)	7.800
500	images/sec: 224.7 +/- 0.4 (jitter = 0.5)	7.812
510	images/sec: 224.8 +/- 0.4 (jitter = 0.5)	7.721
520	images/sec: 224.8 +/- 0.4 (jitter = 0.5)	7.645
530	images/sec: 224.9 +/- 0.3 (jitter = 0.5)	7.722
540	images/sec: 224.9 +/- 0.3 (jitter = 0.5)	7.615
550	images/sec: 224.9 +/- 0.3 (jitter = 0.5)	7.733
560	images/sec: 225.0 +/- 0.3 (jitter = 0.5)	7.697
570	images/sec: 225.0 +/- 0.3 (jitter = 0.5)	7.697
580	images/sec: 225.0 +/- 0.3 (jitter = 0.5)	7.678
590	images/sec: 225.1 +/- 0.3 (jitter = 0.5)	7.667
600	images/sec: 225.1 +/- 0.3 (jitter = 0.5)	7.659
610	images/sec: 225.1 +/- 0.3 (jitter = 0.5)	7.684
620	images/sec: 225.1 +/- 0.3 (jitter = 0.5)	7.683
630	images/sec: 225.2 +/- 0.3 (jitter = 0.5)	7.692
640	images/sec: 225.2 +/- 0.3 (jitter = 0.5)	7.713
650	images/sec: 225.2 +/- 0.3 (jitter = 0.5)	7.704
660	images/sec: 225.2 +/- 0.3 (jitter = 0.5)	7.705
670	images/sec: 225.3 +/- 0.3 (jitter = 0.5)	7.749
680	images/sec: 225.3 +/- 0.3 (jitter = 0.5)	7.651
690	images/sec: 225.3 +/- 0.3 (jitter = 0.5)	7.642
700	images/sec: 225.3 +/- 0.3 (jitter = 0.5)	7.596
710	images/sec: 225.4 +/- 0.3 (jitter = 0.5)	7.595
720	images/sec: 225.4 +/- 0.3 (jitter = 0.5)	7.709
730	images/sec: 225.4 +/- 0.3 (jitter = 0.5)	7.627
740	images/sec: 225.4 +/- 0.2 (jitter = 0.5)	7.629
750	images/sec: 225.4 +/- 0.2 (jitter = 0.5)	7.728
760	images/sec: 225.5 +/- 0.2 (jitter = 0.5)	7.653
770	images/sec: 225.5 +/- 0.2 (jitter = 0.5)	7.596
780	images/sec: 225.5 +/- 0.2 (jitter = 0.5)	7.768
790	images/sec: 225.5 +/- 0.2 (jitter = 0.5)	7.670
800	images/sec: 225.5 +/- 0.2 (jitter = 0.5)	7.633
810	images/sec: 225.5 +/- 0.2 (jitter = 0.5)	7.660
820	images/sec: 225.6 +/- 0.2 (jitter = 0.5)	7.625
830	images/sec: 225.6 +/- 0.2 (jitter = 0.5)	7.616
840	images/sec: 225.6 +/- 0.2 (jitter = 0.5)	7.597
850	images/sec: 225.6 +/- 0.2 (jitter = 0.5)	7.597
860	images/sec: 225.6 +/- 0.2 (jitter = 0.5)	7.536
870	images/sec: 225.6 +/- 0.2 (jitter = 0.5)	7.694
880	images/sec: 225.6 +/- 0.2 (jitter = 0.5)	7.525
890	images/sec: 225.6 +/- 0.2 (jitter = 0.5)	7.587
900	images/sec: 225.7 +/- 0.2 (jitter = 0.5)	7.716
910	images/sec: 225.7 +/- 0.2 (jitter = 0.5)	7.621
920	images/sec: 225.7 +/- 0.2 (jitter = 0.5)	7.548
930	images/sec: 225.7 +/- 0.2 (jitter = 0.5)	7.566
940	images/sec: 225.7 +/- 0.2 (jitter = 0.5)	7.480
950	images/sec: 225.7 +/- 0.2 (jitter = 0.5)	7.625
960	images/sec: 225.7 +/- 0.2 (jitter = 0.5)	7.660
970	images/sec: 225.8 +/- 0.2 (jitter = 0.5)	7.477
980	images/sec: 225.8 +/- 0.2 (jitter = 0.5)	7.589
990	images/sec: 225.8 +/- 0.2 (jitter = 0.5)	7.547
1000	images/sec: 225.8 +/- 0.2 (jitter = 0.5)	7.565
1010	images/sec: 225.8 +/- 0.2 (jitter = 0.5)	7.635
1020	images/sec: 225.8 +/- 0.2 (jitter = 0.5)	7.539
1030	images/sec: 225.8 +/- 0.2 (jitter = 0.5)	7.570
1040	images/sec: 225.8 +/- 0.2 (jitter = 0.5)	7.573
1050	images/sec: 225.8 +/- 0.2 (jitter = 0.5)	7.556
